product_id,product_name_pol,category_id,category_name,producer_id,producer,total_stock
298,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 10/XL,1214553897,Rękawice,1703684705,4WRK,60682
299,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.37,1214553896,buty,1703684705,4WRK,13
300,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 11/XXL,1214553897,Rękawice,1703684705,4WRK,0
301,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.38,1214553896,buty,1703684705,4WRK,56
302,WODOODPORNE RĘKAWICE ROBOCZE solidne rękawiczki gumowe PIANKA FOAM 9/L,1214553897,Rękawice,1703684705,4WRK,12010
303,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.40,1214553896,buty,1703684705,4WRK,177
304,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.39,1214553896,buty,1703684705,4WRK,133
305,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.41,1214553896,buty,1703684705,4WRK,325
306,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.42,1214553896,buty,1703684705,4WRK,578
307,WODOODPORNE RĘKAWICE ROBOCZE solidne rękawiczki gumowe PIANKA FOAM 10/XL,1214553897,Rękawice,1703684705,4WRK,16140
308,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.43,1214553896,buty,1703684705,4WRK,362
309,WODOODPORNE RĘKAWICE ROBOCZE solidne rękawiczki gumowe PIANKA FOAM 11/XXL,1214553897,Rękawice,1703684705,4WRK,11780
310,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.44,1214553896,buty,1703684705,4WRK,344
311,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.45,1214553896,buty,1703684705,4WRK,266
312,SHIELD+ BRUK WR 10/XL,1214553897,Rękawice,1703684705,4WRK,0
313,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.46,1214553896,buty,1703684705,4WRK,176
314,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.47,1214553896,buty,1703684705,4WRK,25
315,RĘKAWICE ROBOCZE ZIMOWE POWLEKANE OCIEPLANE OBUSTRONNIE LATEX POROWATY 9/L,1214553897,Rękawice,1703684705,4WRK,13863
316,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 39,1214553896,buty,1703684705,4WRK,277
317,RĘKAWICE ROBOCZE ZIMOWE POWLEKANE OCIEPLANE OBUSTRONNIE LATEX POROWATY 10/XL,1214553897,Rękawice,1703684705,4WRK,24296
318,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 40,1214553896,buty,1703684705,4WRK,92
319,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 41,1214553896,buty,1703684705,4WRK,315
320,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 42,1214553896,buty,1703684705,4WRK,997
321,RĘKAWICE ROBOCZE NITRYLOWE MOCNE CZARNE 7/S,1214553897,Rękawice,1703684705,4WRK,0
322,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 43,1214553896,buty,1703684705,4WRK,569
324,RĘKAWICE ROBOCZE NITRYLOWE MOCNE CZARNE 8/M,1214553897,Rękawice,1703684705,4WRK,3642
325,RĘKAWICE ROBOCZE NITRYLOWE MOCNE CZARNE 9/L,1214553897,Rękawice,1703684705,4WRK,39379
326,RĘKAWICE ROBOCZE NITRYLOWE MOCNE CZARNE 10/XL,1214553897,Rękawice,1703684705,4WRK,75862
327,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe  44,1214553896,buty,1703684705,4WRK,303
328,RĘKAWICE ROBOCZE NITRYLOWE MOCNE CZARNE 11/XXL,1214553897,Rękawice,1703684705,4WRK,19543
329,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 45,1214553896,buty,1703684705,4WRK,194
330,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 46,1214553896,buty,1703684705,4WRK,43
331,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 47,1214553896,buty,1703684705,4WRK,331
332,BUTY ROBOCZE ZIMOWE trzewiki WODOODPORNE buty męskie S3 OCIEPLANE FUTREM 39,1214553896,buty,1703684705,4WRK,25
333,RĘKAWICZKI ROBOCZE NITRYLOWE MOCNE BAWEŁNA 7/S,1214553897,Rękawice,1703684705,4WRK,1648
334,RĘKAWICZKI ROBOCZE NITRYLOWE MOCNE BAWEŁNA 8/M,1214553897,Rękawice,1703684705,4WRK,992
