product_id,product_name_pol,category_id,category,producer,vat,price_gross,price_net,total_stock,card_url,image_url,icon_url
997,"SAKO 03-003 sandał, skóra welurowa S1 ESD SRC 42",1214553896,buty,4WRK,23.0,93.68,76.16,10,https://4wrk.eu/pl/products/sako-03-003-sandal-skora-welurowa-s1-esd-src-42-997.html,https://4wrk.eu/hpeciai/dc98d2571be051cbac8fa60fc530f31e/997_1.jpg,https://4wrk.eu/hpeciai/3bc562f6438b37d9d833b817160ca2ea/997.jpg
998,"SAKO 03-003 sandał, skóra welurowa S1 ESD SRC 43",1214553896,buty,4WRK,23.0,,,0,https://4wrk.eu/pl/products/sako-03-003-sandal-skora-welurowa-s1-esd-src-43-998.html,https://4wrk.eu/hpeciai/dc98d2571be051cbac8fa60fc530f31e/998_1.jpg,https://4wrk.eu/hpeciai/3bc562f6438b37d9d833b817160ca2ea/998.jpg
999,"SAKO 03-003 sandał, skóra welurowa S1 ESD SRC 44",1214553896,buty,4WRK,23.0,93.68,76.16,47,https://4wrk.eu/pl/products/sako-03-003-sandal-skora-welurowa-s1-esd-src-44-999.html,https://4wrk.eu/hpeciai/dc98d2571be051cbac8fa60fc530f31e/999_1.jpg,https://4wrk.eu/hpeciai/3bc562f6438b37d9d833b817160ca2ea/999.jpg
1000,"SAKO 03-003 sandał, skóra welurowa S1 ESD SRC 45",1214553896,buty,4WRK,23.0,93.68,76.16,14,https://4wrk.eu/pl/products/sako-03-003-sandal-skora-welurowa-s1-esd-src-45-1000.html,https://4wrk.eu/hpeciai/dc98d2571be051cbac8fa60fc530f31e/1000_1.jpg,https://4wrk.eu/hpeciai/3bc562f6438b37d9d833b817160ca2ea/1000.jpg
1001,"SAKO 03-003 sandał, skóra welurowa S1 ESD SRC 46",1214553896,buty,4WRK,23.0,93.68,76.16,19,https://4wrk.eu/pl/products/sako-03-003-sandal-skora-welurowa-s1-esd-src-46-1001.html,https://4wrk.eu/hpeciai/dc98d2571be051cbac8fa60fc530f31e/1001_1.jpg,https://4wrk.eu/hpeciai/3bc562f6438b37d9d833b817160ca2ea/1001.jpg
1002,BUTY PÓŁBUTY ROBOCZE 03-002 S1 SAKO ROZMIAR 47,1214553896,buty,4WRK,23.0,,,0,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-002-s1-sako-rozmiar-47-1002.html,https://4wrk.eu/hpeciai/dc98d2571be051cbac8fa60fc530f31e/1002_1.jpg,https://4wrk.eu/hpeciai/3bc562f6438b37d9d833b817160ca2ea/1002.jpg
1003,BUTY PÓŁBUTY ROBOCZE 04-001 S3- SAKO 36,1214553896,buty,4WRK,23.0,105.95,86.14,25,https://4wrk.eu/pl/products/buty-polbuty-robocze-04-001-s3-sako-36-1003.html,https://4wrk.eu/hpeciai/d0533956f6380d96ea8033fe6efaa08b/1003_1.jpg,https://4wrk.eu/hpeciai/053dcd7070b53757bc2a2a5d7ce87e26/1003.jpg
1004,BUTY PÓŁBUTY ROBOCZE 04-001 S3- SAKO 37,1214553896,buty,4WRK,23.0,105.95,86.14,11,https://4wrk.eu/pl/products/buty-polbuty-robocze-04-001-s3-sako-37-1004.html,https://4wrk.eu/hpeciai/d0533956f6380d96ea8033fe6efaa08b/1004_1.jpg,https://4wrk.eu/hpeciai/053dcd7070b53757bc2a2a5d7ce87e26/1004.jpg
1005,BUTY PÓŁBUTY ROBOCZE 04-001 S3- SAKO 38,1214553896,buty,4WRK,23.0,105.95,86.14,14,https://4wrk.eu/pl/products/buty-polbuty-robocze-04-001-s3-sako-38-1005.html,https://4wrk.eu/hpeciai/d0533956f6380d96ea8033fe6efaa08b/1005_1.jpg,https://4wrk.eu/hpeciai/053dcd7070b53757bc2a2a5d7ce87e26/1005.jpg
1006,BUTY PÓŁBUTY ROBOCZE 04-001 S3- SAKO 39,1214553896,buty,4WRK,23.0,105.95,86.14,23,https://4wrk.eu/pl/products/buty-polbuty-robocze-04-001-s3-sako-39-1006.html,https://4wrk.eu/hpeciai/d0533956f6380d96ea8033fe6efaa08b/1006_1.jpg,https://4wrk.eu/hpeciai/053dcd7070b53757bc2a2a5d7ce87e26/1006.jpg
1007,BUTY PÓŁBUTY ROBOCZE 04-001 S3- SAKO 40,1214553896,buty,4WRK,23.0,105.95,86.14,4,https://4wrk.eu/pl/products/buty-polbuty-robocze-04-001-s3-sako-40-1007.html,https://4wrk.eu/hpeciai/d0533956f6380d96ea8033fe6efaa08b/1007_1.jpg,https://4wrk.eu/hpeciai/053dcd7070b53757bc2a2a5d7ce87e26/1007.jpg
1008,BUTY PÓŁBUTY ROBOCZE 04-001 S3- SAKO 41,1214553896,buty,4WRK,23.0,,,0,https://4wrk.eu/pl/products/buty-polbuty-robocze-04-001-s3-sako-41-1008.html,https://4wrk.eu/hpeciai/d0533956f6380d96ea8033fe6efaa08b/1008_1.jpg,https://4wrk.eu/hpeciai/053dcd7070b53757bc2a2a5d7ce87e26/1008.jpg
1009,BUTY PÓŁBUTY ROBOCZE 04-001 S3- SAKO 42,1214553896,buty,4WRK,23.0,105.95,86.14,36,https://4wrk.eu/pl/products/buty-polbuty-robocze-04-001-s3-sako-42-1009.html,https://4wrk.eu/hpeciai/d0533956f6380d96ea8033fe6efaa08b/1009_1.jpg,https://4wrk.eu/hpeciai/053dcd7070b53757bc2a2a5d7ce87e26/1009.jpg
1010,BUTY PÓŁBUTY ROBOCZE 04-001 S3- SAKO 43,1214553896,buty,4WRK,23.0,105.95,86.14,33,https://4wrk.eu/pl/products/buty-polbuty-robocze-04-001-s3-sako-43-1010.html,https://4wrk.eu/hpeciai/d0533956f6380d96ea8033fe6efaa08b/1010_1.jpg,https://4wrk.eu/hpeciai/053dcd7070b53757bc2a2a5d7ce87e26/1010.jpg
1011,BUTY PÓŁBUTY ROBOCZE 04-001 S3- SAKO 44,1214553896,buty,4WRK,23.0,,,0,https://4wrk.eu/pl/products/buty-polbuty-robocze-04-001-s3-sako-44-1011.html,https://4wrk.eu/hpeciai/d0533956f6380d96ea8033fe6efaa08b/1011_1.jpg,https://4wrk.eu/hpeciai/053dcd7070b53757bc2a2a5d7ce87e26/1011.jpg
1012,BUTY PÓŁBUTY ROBOCZE 04-001 S3- SAKO 45,1214553896,buty,4WRK,23.0,,,0,https://4wrk.eu/pl/products/buty-polbuty-robocze-04-001-s3-sako-45-1012.html,https://4wrk.eu/hpeciai/d0533956f6380d96ea8033fe6efaa08b/1012_1.jpg,https://4wrk.eu/hpeciai/053dcd7070b53757bc2a2a5d7ce87e26/1012.jpg
1013,BUTY PÓŁBUTY ROBOCZE 04-001 S3- SAKO 46,1214553896,buty,4WRK,23.0,105.95,86.14,8,https://4wrk.eu/pl/products/buty-polbuty-robocze-04-001-s3-sako-46-1013.html,https://4wrk.eu/hpeciai/d0533956f6380d96ea8033fe6efaa08b/1013_1.jpg,https://4wrk.eu/hpeciai/053dcd7070b53757bc2a2a5d7ce87e26/1013.jpg
1014,BUTY PÓŁBUTY ROBOCZE 04-001 S3- SAKO 47,1214553896,buty,4WRK,23.0,105.95,86.14,13,https://4wrk.eu/pl/products/buty-polbuty-robocze-04-001-s3-sako-47-1014.html,https://4wrk.eu/hpeciai/d0533956f6380d96ea8033fe6efaa08b/1014_1.jpg,https://4wrk.eu/hpeciai/053dcd7070b53757bc2a2a5d7ce87e26/1014.jpg
1015,BUTY TRZEWIKI OCHRONNE ROBOCZE 04-002 S3- SAKO  36,1214553896,buty,4WRK,23.0,112.07,91.11,114,https://4wrk.eu/pl/products/buty-trzewiki-ochronne-robocze-04-002-s3-sako-36-1015.html,https://4wrk.eu/hpeciai/a9883827775f8606ef80805f63437633/1015_1.jpg,https://4wrk.eu/hpeciai/338c2a6eca57a6374a7ed1d783f5512b/1015.jpg
1016,BUTY TRZEWIKI OCHRONNE ROBOCZE 04-002 S3- SAKO  37,1214553896,buty,4WRK,23.0,112.07,91.11,81,https://4wrk.eu/pl/products/buty-trzewiki-ochronne-robocze-04-002-s3-sako-37-1016.html,https://4wrk.eu/hpeciai/a9883827775f8606ef80805f63437633/1016_1.jpg,https://4wrk.eu/hpeciai/338c2a6eca57a6374a7ed1d783f5512b/1016.jpg
1017,BUTY TRZEWIKI OCHRONNE ROBOCZE 04-002 S3- SAKO  38,1214553896,buty,4WRK,23.0,112.07,91.11,119,https://4wrk.eu/pl/products/buty-trzewiki-ochronne-robocze-04-002-s3-sako-38-1017.html,https://4wrk.eu/hpeciai/a9883827775f8606ef80805f63437633/1017_1.jpg,https://4wrk.eu/hpeciai/338c2a6eca57a6374a7ed1d783f5512b/1017.jpg
1018,BUTY TRZEWIKI OCHRONNE ROBOCZE 04-002 S3- SAKO  39,1214553896,buty,4WRK,23.0,112.07,91.11,194,https://4wrk.eu/pl/products/buty-trzewiki-ochronne-robocze-04-002-s3-sako-39-1018.html,https://4wrk.eu/hpeciai/a9883827775f8606ef80805f63437633/1018_1.jpg,https://4wrk.eu/hpeciai/338c2a6eca57a6374a7ed1d783f5512b/1018.jpg
1019,BUTY TRZEWIKI OCHRONNE ROBOCZE 04-002 S3- SAKO  40,1214553896,buty,4WRK,23.0,112.07,91.11,283,https://4wrk.eu/pl/products/buty-trzewiki-ochronne-robocze-04-002-s3-sako-40-1019.html,https://4wrk.eu/hpeciai/a9883827775f8606ef80805f63437633/1019_1.jpg,https://4wrk.eu/hpeciai/338c2a6eca57a6374a7ed1d783f5512b/1019.jpg
1020,BUTY TRZEWIKI OCHRONNE ROBOCZE 04-002 S3- SAKO  41,1214553896,buty,4WRK,23.0,112.07,91.11,252,https://4wrk.eu/pl/products/buty-trzewiki-ochronne-robocze-04-002-s3-sako-41-1020.html,https://4wrk.eu/hpeciai/a9883827775f8606ef80805f63437633/1020_1.jpg,https://4wrk.eu/hpeciai/338c2a6eca57a6374a7ed1d783f5512b/1020.jpg
1021,BUTY TRZEWIKI OCHRONNE ROBOCZE 04-002 S3- SAKO  42,1214553896,buty,4WRK,23.0,112.07,91.11,370,https://4wrk.eu/pl/products/buty-trzewiki-ochronne-robocze-04-002-s3-sako-42-1021.html,https://4wrk.eu/hpeciai/a9883827775f8606ef80805f63437633/1021_1.jpg,https://4wrk.eu/hpeciai/338c2a6eca57a6374a7ed1d783f5512b/1021.jpg
1022,BUTY TRZEWIKI OCHRONNE ROBOCZE 04-002 S3- SAKO  43,1214553896,buty,4WRK,23.0,112.07,91.11,286,https://4wrk.eu/pl/products/buty-trzewiki-ochronne-robocze-04-002-s3-sako-43-1022.html,https://4wrk.eu/hpeciai/a9883827775f8606ef80805f63437633/1022_1.jpg,https://4wrk.eu/hpeciai/338c2a6eca57a6374a7ed1d783f5512b/1022.jpg
1023,BUTY TRZEWIKI OCHRONNE ROBOCZE 04-002 S3- SAKO  44,1214553896,buty,4WRK,23.0,112.07,91.11,269,https://4wrk.eu/pl/products/buty-trzewiki-ochronne-robocze-04-002-s3-sako-44-1023.html,https://4wrk.eu/hpeciai/a9883827775f8606ef80805f63437633/1023_1.jpg,https://4wrk.eu/hpeciai/338c2a6eca57a6374a7ed1d783f5512b/1023.jpg
